Image,Annotation,Mean_GFAP_Intensity,Mean_DAPI_Intensity,GFAP_DAPI_Ratio,Annotation_Area_mm2,Timestamp
2026_05_25__RecognizedCode_05-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,2182.3402,1727.8301,1.263053,0.2647,2026-07-06 20:21:38
2026_05_25__RecognizedCode_05-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2250.0422,1178.4176,1.909376,0.2986,2026-07-06 20:21:46
2026_05_25__RecognizedCode_06-Scene-1-ScanRegion0_maxproj_4ch.ome.tiff,DG,2632.9712,693.9739,3.794050,0.2451,2026-07-06 20:22:03
2026_05_25__RecognizedCode_06-Scene-2-ScanRegion1_maxproj_4ch.ome.tiff,DG,2756.6543,615.4114,4.479368,0.3441,2026-07-06 20:22:24
2026_05_25__RecognizedCode_06-Scene-3-ScanRegion2_maxproj_4ch.ome.tiff,DG,2449.5467,758.9337,3.227616,0.331,2026-07-06 20:22:41
2026_05_25__RecognizedCode_06-Scene-4-ScanRegion3_maxproj_4ch.ome.tiff,DG,2494.3584,899.7868,2.772166,0.3207,2026-07-06 20:23:06
2026_05_25__RecognizedCode_06-Scene-5-ScanRegion4_maxproj_4ch.ome.tiff,DG,2969.8264,753.6927,3.940368,0.2803,2026-07-06 20:23:26
2026_05_25__RecognizedCode_06-Scene-6-ScanRegion5_maxproj_4ch.ome.tiff,DG,2899.1074,726.7839,3.988954,0.3662,2026-07-06 20:23:38
2026_05_25__RecognizedCode_06-Scene-7-ScanRegion6_maxproj_4ch.ome.tiff,DG,2953.3076,947.8570,3.115773,0.3574,2026-07-06 20:23:55
2026_05_25__RecognizedCode_06-Scene-8-ScanRegion7_maxproj_4ch.ome.tiff,DG,2422.1662,468.7503,5.167284,0.787,2026-07-06 20:24:09
2026_05_25__RecognizedCode_07-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,1939.7334,1049.9199,1.847506,0.4131,2026-07-06 20:24:28
2026_05_25__RecognizedCode_07-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,1900.6740,1304.9075,1.456558,0.2777,2026-07-06 20:24:45
2026_05_25__RecognizedCode_07-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,3106.3189,1658.0201,1.873511,0.2604,2026-07-06 20:25:05
2026_05_25__RecognizedCode_07-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,1906.9306,920.9076,2.070708,0.375,2026-07-06 20:25:20
2026_05_25__RecognizedCode_07-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2000.0118,1310.1343,1.526570,0.2625,2026-07-06 20:25:35
2026_05_25__RecognizedCode_07-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,1834.3560,1081.4978,1.696125,0.3883,2026-07-06 20:25:48
2026_05_25__RecognizedCode_07-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,1887.4658,1141.0262,1.654183,0.4579,2026-07-06 20:25:58
2026_05_25__RecognizedCode_07-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,1865.9698,1425.1693,1.309297,0.3167,2026-07-06 20:26:18
2026_05_25__RecognizedCode_07-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2096.5725,1385.0956,1.513666,0.2695,2026-07-06 20:26:28
2026_05_25__RecognizedCode_07-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2009.6733,1050.7574,1.912595,0.3216,2026-07-06 20:26:39
2026_05_25__RecognizedCode_07-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,2052.6262,1160.6719,1.768481,0.4751,2026-07-06 20:26:58
2026_05_25__RecognizedCode_07-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2018.7099,1226.0608,1.646501,0.4189,2026-07-06 20:27:28
2026_05_25__RecognizedCode_07-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,1790.9523,917.0313,1.952989,0.6822,2026-07-06 20:27:47
2026_05_25__RecognizedCode_07-Scene-14-ScanRegion13_maxproj_4ch.ome.tiff,DG,1549.3348,578.2739,2.679240,0.6376,2026-07-06 20:28:06
2026_05_25__RecognizedCode_07-Scene-15-ScanRegion14_maxproj_4ch.ome.tiff,DG,1876.9815,661.7863,2.836235,0.9181,2026-07-06 20:28:29
2026_05_25__RecognizedCode_08-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2801.9868,830.6104,3.373407,0.3472,2026-07-06 20:28:47
2026_05_25__RecognizedCode_08-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,2994.5362,824.7169,3.630987,0.2809,2026-07-06 20:29:01
2026_05_25__RecognizedCode_08-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,2747.6525,1232.0958,2.230064,0.2907,2026-07-06 20:29:12
2026_05_25__RecognizedCode_08-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,2687.8751,1092.4377,2.460438,0.2526,2026-07-06 20:29:23
