Image,Annotation,Mean_GFAP_Intensity,Annotation_Area_mm2,Timestamp
2026_05_25__RecognizedCode_06-Scene-4-ScanRegion3_maxproj_4ch.ome.tiff,DG,2494.3584,0.3207,2026-06-30 22:18:34
2026_05_25__RecognizedCode_06-Scene-5-ScanRegion4_maxproj_4ch.ome.tiff,DG,2969.8264,0.2803,2026-06-30 22:18:46
2026_05_25__RecognizedCode_06-Scene-6-ScanRegion5_maxproj_4ch.ome.tiff,DG,2899.1074,0.3662,2026-06-30 22:18:57
2026_05_25__RecognizedCode_06-Scene-7-ScanRegion6_maxproj_4ch.ome.tiff,DG,2953.3076,0.3574,2026-06-30 22:19:12
2026_05_25__RecognizedCode_06-Scene-8-ScanRegion7_maxproj_4ch.ome.tiff,DG,2422.1662,0.787,2026-06-30 22:19:34
2026_05_25__RecognizedCode_07-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,1939.7334,0.4131,2026-06-30 22:19:53
2026_05_25__RecognizedCode_07-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,1900.6740,0.2777,2026-06-30 22:20:22
2026_05_25__RecognizedCode_07-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,3106.3189,0.2604,2026-06-30 22:20:38
2026_05_25__RecognizedCode_07-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,1906.9306,0.375,2026-06-30 22:20:53
2026_05_25__RecognizedCode_07-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2000.0118,0.2625,2026-06-30 22:21:06
2026_05_25__RecognizedCode_07-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,1834.3560,0.3883,2026-06-30 22:21:16
2026_05_25__RecognizedCode_07-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,1887.4658,0.4579,2026-06-30 22:21:31
2026_05_25__RecognizedCode_07-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,1865.9698,0.3167,2026-06-30 22:21:49
2026_05_25__RecognizedCode_07-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2096.5725,0.2695,2026-06-30 22:22:00
2026_05_25__RecognizedCode_07-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2009.6733,0.3216,2026-06-30 22:22:16
2026_05_25__RecognizedCode_07-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,2052.6262,0.4751,2026-06-30 22:22:35
2026_05_25__RecognizedCode_07-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2018.7099,0.4189,2026-06-30 22:22:48
2026_05_25__RecognizedCode_07-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,1790.9523,0.6822,2026-06-30 22:23:06
2026_05_25__RecognizedCode_07-Scene-14-ScanRegion13_maxproj_4ch.ome.tiff,DG,1549.3348,0.6376,2026-06-30 22:23:24
2026_05_25__RecognizedCode_07-Scene-15-ScanRegion14_maxproj_4ch.ome.tiff,DG,1876.9815,0.9181,2026-06-30 22:23:39
2026_05_25__RecognizedCode_08-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2801.9868,0.3472,2026-06-30 22:23:55
2026_05_25__RecognizedCode_08-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,2994.5362,0.2809,2026-06-30 22:24:10
2026_05_25__RecognizedCode_08-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,2747.6525,0.2907,2026-06-30 22:24:28
2026_05_25__RecognizedCode_08-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,2687.8751,0.2526,2026-06-30 22:24:36
2026_05_25__RecognizedCode_08-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2669.8203,0.336,2026-06-30 22:24:50
2026_05_25__RecognizedCode_08-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,2602.4092,0.3701,2026-06-30 22:25:18
2026_05_25__RecognizedCode_08-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2652.5768,0.3776,2026-06-30 22:25:34
2026_05_25__RecognizedCode_08-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,2969.3897,0.362,2026-06-30 22:25:56
2026_05_25__RecognizedCode_08-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2361.2226,0.9157,2026-06-30 22:26:15
2026_05_25__RecognizedCode_08-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2392.2054,1.3433,2026-06-30 22:26:42
2026_05_25__RecognizedCode_08-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,2636.6588,0.4012,2026-06-30 22:27:15
2026_05_25__RecognizedCode_08-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2471.0314,0.4087,2026-06-30 22:27:33
2026_05_25__RecognizedCode_08-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,2430.1315,0.4699,2026-06-30 22:27:55
2026_05_25__RecognizedCode_08-Scene-14-ScanRegion13_maxproj_4ch.ome.tiff,DG,2268.9727,0.4645,2026-06-30 22:28:10
