Image,Annotation,Astrocyte_Count,Annotation_Area_mm2,Astrocytes_per_mm2,Timestamp
2026_05_29__RecognizedCode_07-Scene-13-ScanRegion12,DG,172,2.5291,68.01,2026-06-28 07:48:23
2026_05_29__RecognizedCode_07-Scene-14-ScanRegion13,DG,225,3.4356,65.49,2026-06-28 07:51:34
2026_05_29__RecognizedCode_07-Scene-15-ScanRegion14,DG,250,4.0973,61.02,2026-06-28 07:54:08
2026_05_29__RecognizedCode_07-Scene-16-ScanRegion15,DG,184,2.4939,73.78,2026-06-28 07:58:03
2026_05_29__RecognizedCode_07-Scene-17-ScanRegion16,DG,426,4.8138,88.50,2026-06-28 08:03:13
2026_05_29__RecognizedCode_08-Scene-02-ScanRegion1,DG,289,2.4522,117.86,2026-06-28 08:05:14
2026_05_29__RecognizedCode_08-Scene-03-ScanRegion2,DG,252,2.5337,99.46,2026-06-28 08:08:01
2026_05_29__RecognizedCode_08-Scene-04-ScanRegion3,DG,214,2.6923,79.49,2026-06-28 08:13:16
2026_05_29__RecognizedCode_08-Scene-06-ScanRegion5,DG,330,3.1918,103.39,2026-06-28 08:17:59
2026_05_29__RecognizedCode_08-Scene-07-ScanRegion6,DG,225,2.8268,79.60,2026-06-28 08:23:21
2026_05_29__RecognizedCode_08-Scene-08-ScanRegion7,DG,232,2.3723,97.80,2026-06-28 08:26:36
2026_05_29__RecognizedCode_08-Scene-09-ScanRegion8,DG,230,2.0396,112.77,2026-06-28 08:29:13
2026_05_29__RecognizedCode_08-Scene-10-ScanRegion9,DG,257,2.3665,108.60,2026-06-28 08:32:11
2026_05_29__RecognizedCode_08-Scene-11-ScanRegion10,DG,179,2.2394,79.93,2026-06-28 08:36:09
2026_05_29__RecognizedCode_08-Scene-12-ScanRegion11,DG,302,2.8983,104.20,2026-06-28 08:40:33
2026_05_29__RecognizedCode_08-Scene-13-ScanRegion12,DG,233,2.3819,97.82,2026-06-28 08:45:05
2026_05_29__RecognizedCode_09-Scene-02-ScanRegion1,DG,271,2.5993,104.26,2026-06-28 08:47:18
2026_05_29__RecognizedCode_09-Scene-04-ScanRegion3,DG,275,3.0584,89.92,2026-06-28 08:50:30
2026_05_29__RecognizedCode_09-Scene-05-ScanRegion4,DG,186,1.9908,93.43,2026-06-28 08:54:36
2026_05_29__RecognizedCode_09-Scene-06-ScanRegion5,DG,171,2.0781,82.29,2026-06-28 09:00:38
2026_05_29__RecognizedCode_09-Scene-08-ScanRegion7,DG,236,2.6674,88.48,2026-06-28 09:07:57
2026_05_29__RecognizedCode_09-Scene-09-ScanRegion8,DG,382,3.0346,125.88,2026-06-28 09:15:15
2026_05_29__RecognizedCode_09-Scene-10-ScanRegion9,DG,272,2.7750,98.02,2026-06-28 09:20:01
2026_05_29__RecognizedCode_09-Scene-11-ScanRegion10,DG,175,1.9695,88.86,2026-06-28 09:22:26
2026_05_29__RecognizedCode_09-Scene-12-ScanRegion11,DG,144,2.0446,70.43,2026-06-28 09:26:05
2026_05_29__RecognizedCode_09-Scene-13-ScanRegion12,DG,204,1.9362,105.36,2026-06-28 09:28:08
2026_05_29__RecognizedCode_09-Scene-14-ScanRegion13,DG,182,2.2509,80.86,2026-06-28 09:30:05
2026_05_29__RecognizedCode_09-Scene-15-ScanRegion14,DG,198,2.3128,85.61,2026-06-28 09:33:16
2026_05_29__RecognizedCode_09-Scene-16-ScanRegion15,DG,315,4.1639,75.65,2026-06-28 09:38:02
2026_05_29__RecognizedCode_09-Scene-17-ScanRegion16,DG,298,4.6682,63.84,2026-06-28 09:41:13
2026_05_29__RecognizedCode_09-Scene-18-ScanRegion17,DG,251,3.0489,82.33,2026-06-28 09:45:08
2026_05_29__RecognizedCode_10-Scene-02-ScanRegion1,DG,156,2.7984,55.75,2026-06-28 09:50:30
2026_05_29__RecognizedCode_10-Scene-03-ScanRegion2,DG,162,2.5819,62.75,2026-06-28 09:53:31
2026_05_29__RecognizedCode_10-Scene-04-ScanRegion3,DG,237,1.9178,123.58,2026-06-28 09:58:27
2026_05_29__RecognizedCode_10-Scene-05-ScanRegion4,DG,102,1.5132,67.41,2026-06-28 10:02:26
2026_05_29__RecognizedCode_10-Scene-06-ScanRegion5,DG,181,3.0363,59.61,2026-06-28 10:07:56
2026_05_29__RecognizedCode_10-Scene-07-ScanRegion6,DG,231,2.5593,90.26,2026-06-28 10:13:20
2026_05_29__RecognizedCode_10-Scene-08-ScanRegion7,DG,207,2.6663,77.64,2026-06-28 10:18:37
2026_05_29__RecognizedCode_10-Scene-09-ScanRegion8,DG,212,2.1313,99.47,2026-06-28 10:23:15
